TOTAL	EVENS	1	2	3	4	5	6	7	8	9
10	2	1	2	3	4					

11	1	1	2	3		5				

12	2	1	2	3			6			
12	2	1	2		4	5				

13	1	1	2	3				7		
13	1	1		3	4	5				
13	3	1	2		4		6			

14	2	1	2	3					8	
14	2	1	2		4			7		
14	2	1	2			5	6			
14	2	1		3	4		6			
14	2		2	3	4	5				

15	1	1	2	3						9
15	1	1	2			5		7		
15	1	1		3	4			7		
15	1	1		3		5	6			
15	3	1	2		4				8	
15	3		2	3	4		6			

16	2	1	2		4					9
16	2	1	2			5			8	
16	2	1	2				6	7		
16	2	1		3	4				8	
16	2	1			4	5	6			
16	2		2	3	4			7		
16	2		2	3		5	6			
16	0	1		3		5		7		

17	1	1	2			5				9
17	1	1		3	4					9
17	1	1		3		5			8	
17	1	1		3			6	7		
17	1	1			4	5		7		
17	1		2	3		5		7		
17	3	1	2				6		8	
17	3		2	3	4				8	
17	3		2		4	5	6			

18	2	1	2				6			9
18	2	1	2					7	8	
18	2	1		3			6		8	
18	2	1			4	5			8	
18	2	1			4		6	7		
18	2		2	3	4					9
18	2		2	3		5			8	
18	2		2	3			6	7		
18	2		2		4	5		7		
18	2			3	4	5	6			
18	0	1		3		5				9

19	1	1	2					7		9
19	1	1		3			6			9
19	1	1		3				7	8	
19	1	1			4	5				9
19	1	1				5	6	7		
19	1		2	3		5				9
19	1			3	4	5		7		
19	3	1			4		6		8	
19	3		2	3			6		8	
19	3		2		4	5			8	
19	3		2		4		6	7		

20	2	1	2						8	9
20	2	1			4		6			9
20	2	1			4			7	8	
20	2	1				5	6		8	
20	2		2	3			6			9
20	2		2	3				7	8	
20	2		2		4	5				9
20	2		2			5	6	7		
20	2			3	4	5			8	
20	2			3	4		6	7		
20	0	1		3				7		9
20	4		2		4		6		8	

21	1	1		3					8	9
21	1	1			4			7		9
21	1	1				5	6			9
21	1	1				5		7	8	
21	1		2	3				7		9
21	1			3	4	5				9
21	1			3		5	6	7		
21	3		2		4		6			9
21	3		2		4			7	8	
21	3		2			5	6		8	
21	3			3	4		6		8	

22	2	1			4				8	9
22	2	1					6	7	8	
22	2		2	3					8	9
22	2		2		4			7		9
22	2		2			5	6			9
22	2		2			5		7	8	
22	2			3	4		6			9
22	2			3	4			7	8	
22	2			3		5	6		8	
22	2				4	5	6	7		
22	0	1				5		7		9

23	1	1				5			8	9
23	1	1					6	7		9
23	1		2			5		7		9
23	1			3	4			7		9
23	1			3		5	6			9
23	1			3		5		7	8	
23	3		2		4				8	9
23	3		2				6	7	8	
23	3				4	5	6		8	

24	2	1					6		8	9
24	2		2			5			8	9
24	2		2				6	7		9
24	2			3	4				8	9
24	2			3			6	7	8	
24	2				4	5	6			9
24	2				4	5		7	8	
24	0			3		5		7		9

25	1	1						7	8	9
25	1			3		5			8	9
25	1			3			6	7		9
25	1				4	5		7		9
25	3		2				6		8	9
25	3				4		6	7	8	

26	2		2					7	8	9
26	2			3			6		8	9
26	2				4	5			8	9
26	2				4		6	7		9
26	2					5	6	7	8	

27	1			3				7	8	9
27	1					5	6	7		9
27	3				4		6		8	9

28	2				4			7	8	9
28	2					5	6		8	9

29	1					5		7	8	9

30	2						6	7	8	9

